Cluster: 1
                             Schokolade  fruchtig  Karamell  nussig  Nougat  knusprig  hart  Riegel  mehrere  Zuckerrank  Preisrank    Gewinn%
Welch's Fruit Snacks                  0         1         0       0       0         0     0       0        1       0.313      0.313  44.375519
Fruit Chews                           0         1         0       0       0         0     0       0        1       0.127      0.034  43.088924
Runts                                 0         1         0       0       0         0     1       0        1       0.872      0.279  42.849144
Dots                                  0         1         0       0       0         0     0       0        1       0.732      0.511  42.272076
Haribo Twin Snakes                    0         1         0       0       0         0     0       0        1       0.465      0.465  42.178772
Laffy Taffy                           0         1         0       0       0         0     0       0        0       0.220      0.116  41.389557
Pop Rocks                             0         1         0       0       0         0     1       0        1       0.604      0.837  41.265511
Dum Dums                              0         1         0       0       0         0     1       0        0       0.732      0.034  39.460556
Now & Later                           0         1         0       0       0         0     0       0        1       0.220      0.325  39.446800
Fun Dip                               0         1         0       0       0         0     1       0        0       0.732      0.325  39.185505
Lemonhead                             0         1         0       0       0         0     1       0        0       0.046      0.104  39.141056
Warheads                              0         1         0       0       0         0     1       0        0       0.093      0.116  39.011898
Candy Corn                            0         0         0       0       0         0     0       0        1       0.906      0.325  38.010963
Pixie Sticks                          0         0         0       0       0         0     0       0        1       0.093      0.023  37.722336
Red vines                             0         1         0       0       0         0     0       0        1       0.581      0.116  37.348522
Chewey Lemonhead Fruit Mix            0         1         0       0       0         0     0       0        1       0.732      0.511  36.017628
Ring pop                              0         1         0       0       0         0     1       0        0       0.732      0.965  35.290756
Strawberry bon bons                   0         1         0       0       0         0     1       0        1       0.569      0.058  34.578991
Haribo Happy Cola                     0         0         0       0       0         0     0       0        1       0.465      0.465  34.158958
Root Beer Barrels                     0         0         0       0       0         0     1       0        1       0.732      0.069  29.703691
Jawbusters                            0         1         0       0       0         0     1       0        1       0.093      0.511  28.127439
Super Bubble                          0         1         0       0       0         0     0       0        0       0.162      0.116  27.303865
Chiclets                              0         1         0       0       0         0     0       0        1       0.046      0.325  24.524988
Nik L Nip                             0         1         0       0       0         0     0       0        1       0.197      0.976  22.445341



Cluster: 3
                            Schokolade  fruchtig  Karamell  nussig  Nougat  knusprig  hart  Riegel  mehrere  Zuckerrank  Preisrank    Gewinn%
Werther's Original Caramel           0         0         1       0       0         0     1       0        0       0.186      0.267  41.904308
Caramel Apple Pops                   0         1         1       0       0         0     0       0        0       0.604      0.325  34.517681
Sugar Babies                         0         0         1       0       0         0     0       0        1       0.965      0.767  33.437550
Sugar Daddy                       
